,Drug_ID,Smiles,Selfies
45,PubChem7848775,C[C@@H](OC(=O)CN(C)S(=O)(=O)c1ccc(F)cc1)C(=O)NC1CCCC1,[C][C@@H1][Branch2][Ring1][=N][O][C][=Branch1][C][=O][C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][Branch1]
46,PubChem7849070,COC(=O)c1ccc2c(=O)n(C[C@H](C)O)c(SC/C=C/c3ccccc3)nc2c1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C@H1][Branch1][C][C][O][C][Branch1][=N][S][C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2]
47,PubChem7849079,CCOc1ccccc1COC(=O)CN(C)S(=O)(=O)c1ccc(F)cc1,[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][=Branch1][C][=O][C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
48,PubChem7849104,COC(=O)c1ccc2c(=O)n(C[C@@H](C)O)c(SCC(N)=O)nc2c1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C@@H1][Branch1][C][C][O][C][Branch1][Branch2][S][C][C][Branch1][C][N][=O][=N][C][Ring1][S][=C][Ring2][Ring1][Ring2]
49,PubChem7849288,COC(=O)c1ccc2c(=O)n(C[C@@H]3CCCO3)c(SCC#N)nc2c1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][C@@H1][C][C][C][O][Ring1][Branch1][C][Branch1][Branch1][S][C][C][#N][=N][C][Ring1][P][=C][Ring2][Ring1][Branch1]
50,PubChem17396825,O=S(=O)(c1ccc(Sc2nc3ccccc3s2)nc1)N1CCOCC1,[O][=S][=Branch1][C][=O][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][S][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][N][=C][Ring1][S][N][C][C][O][C][C][Ring1][=Branch1]
51,PubChem17396898,CCc1ccccc1NC(=O)CNC(=O)c1cccc(NC(C)=O)c1,[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][=C][Ring1][#Branch2]
52,PubChem17397370,COc1cccc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1OC,[C][O][C][=C][C][=C][C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][Branch1][C][C][C][=C][Branch1][C][C][NH1][C][Ring1][Branch2][=O][=C][Ring2][Ring1][Ring1][O][C]
53,PubChem17397413,COc1ccc2oc(C(=O)Nc3cc(C(C)(C)C)nn3C)c(C)c2c1,[C][O][C][=C][C][=C][O][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=N][N][Ring1][=Branch2][C][=C][Branch1][C][C][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1]
54,PubChem7847207,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)OCC(=O)N2CCC(C)CC2)cc1,[C][C][=C][C][=C][Branch2][Ring2][#Branch1][C][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][C][C][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Ring2][Ring1][=C]
55,PubChem7847292,CC(C)[C@@H](OC(=O)COc1ccccc1Cl)C(=O)NC(N)=O,[C][C][Branch1][C][C][C@@H1][Branch1][P][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][N][C][Branch1][C][N][=O]
56,PubChem7847446,CCc1cc(C(=O)OCC(=O)NCc2ccc(C(=O)OC)cc2)sc1C,[C][C][C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][=C][Ring1][#Branch2][S][C][=Ring2][Ring1][#Branch1][C]
57,PubChem7847460,CCc1cc(C(=O)OCC(=O)Nc2c(C)cccc2C(C)C)sc1C,[C][C][C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][Branch1][C][C][C][S][C][=Ring2][Ring1][=Branch1][C]
58,PubChem7847476,CC(C)(C)c1ccc(SCC(=O)Nc2ccc(C(N)=O)cc2)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][#Branch1][S][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][Ring2]
59,PubChem7847503,CC(C)(C)c1ccc(SCn2nnc3ccccc3c2=O)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][C][S][C][N][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O][C][=C][Ring2][Ring1][Ring1]
60,PubChem7847608,CC(C)[C@H](OC(=O)CNS(=O)(=O)c1ccc2c(c1)CCCC2)C(=O)NC(N)=O,[C][C][Branch1][C][C][C@H1][Branch2][Ring1][#C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][Branch1][C][N][=O]
61,PubChem7847640,Cc1ccc(NC(=O)COC(=O)CNS(=O)(=O)c2ccc3c(c2)CCCC3)cc1,[C][C][=C][C][=C][Branch2][Ring2][Branch1][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Ring2][Ring1][N]
62,PubChem7848134,Cc1cc(C)c(C(=O)COC(=O)c2ccc3c(c2)NC(=O)CCS3)c(C)c1,[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][#C][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][Ring1][=Branch2][C][Branch1][C][C][=C][Ring2][Ring1][#Branch2]
63,PubChem7849394,Cc1ccc(S(C)(=O)=O)cc1C(=O)OCC(=O)c1ccc(C2CCCCC2)cc1,[C][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][N]
64,PubChem7847285,O=C(COc1ccccc1Cl)OC1c2ccccc2-c2ccccc21,[O][=C][Branch1][N][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N]
65,PubChem7847406,CC(C)(C)c1ccc(SCC(=O)N2CCNC2=O)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][#C][S][C][C][=Branch1][C][=O][N][C][C][N][C][Ring1][Branch1][=O][C][=C][Ring1][S]
66,PubChem7847584,COc1ccc(COC(=O)CNS(=O)(=O)c2ccc3c(c2)CCCC3)cc1F,[C][O][C][=C][C][=C][Branch2][Ring1][S][C][O][C][=Branch1][C][=O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Ring2][Ring1][=Branch2][F]
67,PubChem7847585,C[C@H]1CCN(C(=O)COc2ccccc2Br)c2ccccc2S1,[C][C@H1][C][C][N][Branch1][S][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring2][Ring1][=Branch1]
68,PubChem7847604,Cc1cc(C(=O)COc2ccccc2Br)c(C)n1C[C@H]1CCCO1,[C][C][=C][C][Branch1][S][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][=C][Branch1][C][C][N][Ring1][P][C][C@H1][C][C][C][O][Ring1][Branch1]
69,PubChem7847718,N#CCN(C(=O)COC(=O)c1ccc(-c2ccc(Cl)cc2)s1)c1ccccc1,[N][#C][C][N][Branch2][Ring1][#C][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][S][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1]
70,PubChem7847719,O=C(COc1ccccc1Br)Nc1c(Cl)cccc1Cl,[O][=C][Branch1][N][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]
71,PubChem7847721,N#Cc1ccc(NC(=O)COc2ccccc2Br)cc1,[N][#C][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][C][=C][Ring2][Ring1][C]
72,PubChem7848259,O=C1CCSc2ccc(C(=O)OCCOc3ccccc3F)cc2N1,[O][=C][C][C][S][C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][Ring2][Ring1][Ring1][N][Ring2][Ring1][Branch2]
73,PubChem17397931,O=C(Cn1cnc2ccsc2c1=O)c1ccc(F)cc1,[O][=C][Branch1][S][C][N][C][=N][C][C][=C][S][C][=Ring1][Branch1][C][Ring1][=Branch2][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
74,PubChem7848409,C[C@H](OC(=O)c1ccc2c(c1)NC(=O)CCS2)C(=O)NCc1ccco1,[C][C@H1][Branch2][Ring1][#Branch2][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][=C][C][=C][O][Ring1][Branch1]
